Index,Company Code,Full_Name,Company_ID,CatID
1,A32,CTCP 32,4712,5
2,AAA,CTCP Nhựa An Phát Xanh,2541,1
3,AAM,CTCP Thủy sản MeKong,1813,1
4,AAS,CTCP Chứng khoán SmartInvest (AAS),1339,5
5,AAT,CTCP Tập Đoàn Tiên Sơn Thanh Hóa ,3905,1
6,AAV,CTCP AAV Group,4522,2
7,ABB,Ngân hàng TMCP An Bình,1196,5
8,ABC,CTCP Truyền thông VMG,2920,5
9,ABI,CTCP Bảo hiểm Ngân hàng Nông nghiệp Việt Nam,1786,5
10,ABR,CTCP Đầu tư Nhãn hiệu Việt,4473,1
11,ABS,CTCP Dịch vụ Nông nghiệp Bình Thuận,4784,1
12,ABT,CTCP Xuất nhập khẩu Thủy sản Bến Tre,783,1
13,AC4,CTCP ACC-244,2995,5
14,ACB,Ngân hàng TMCP Á Châu,885,1
15,ACC,CTCP Đầu tư và Xây dựng Bình Dương ACC,2041,1
16,ACE,CTCP Bê tông Ly tâm An Giang,1525,5
17,ACG,CTCP Gỗ An Cường,4793,1
18,ACL,CTCP Xuất nhập khẩu Thủy sản Cửu Long An Giang,936,1
19,ACM,CTCP Tập đoàn Khoáng sản Á Cường,4027,5
20,ACS,CTCP Xây lắp Thương mại 2,1997,5
21,ACV,Tổng Công ty Cảng Hàng không Việt Nam - CTCP,4052,5
22,ADC,CTCP Mỹ thuật và Truyền thông,2486,2
23,ADG,CTCP Clever Group,4779,1
24,ADP,CTCP Sơn Á Đông,2017,5
25,ADS,CTCP Damsan,3181,1
26,AFC,CTCP Nông Lâm nghiệp Bình Dương,4511,5
27,AFX,CTCP Xuất nhập khẩu Nông sản Thực phẩm An Giang,3218,5
28,AG1,CTCP 28.1,4633,5
29,AGE,CTCP Môi trường Đô thị An Giang,4664,5
30,AGF,CTCP Xuất nhập khẩu Thủy sản An Giang,38,5
31,AGG,CTCP Đầu tư và Phát triển Bất động sản An Gia,4782,1
32,AGM,CTCP Xuất Nhập khẩu An Giang,1935,1
33,AGP,CTCP Dược phẩm Agimexpharm,2493,5
34,AGR,CTCP Chứng khoán Agribank,1401,1
35,AGX,CTCP Thực phẩm Nông Sản xuất khẩu Sài Gòn,1245,5
36,AIC,Tổng Công ty Cổ phần Bảo hiểm Hàng không,1991,5
37,ALT,CTCP Văn hóa Tân Bình,778,2
38,ALV,CTCP Xây dựng ALVICO,2657,5
39,AMC,CTCP Khoáng sản Á Châu,2655,2
40,AMD,CTCP Đầu tư và Khoáng sản FLC Stone,3728,1
41,AME,CTCP Alphanam E&amp;C,2611,2
42,AMP,CTCP Armephaco,2607,5
43,AMS,CTCP Cơ khí Xây dựng AMECC,3116,5
44,AMV,CTCP Sản xuất Kinh doanh Dược và Trang thiết bị Y tế Việt Mỹ,2121,2
45,ANT,CTCP Rau quả Thực phẩm An Giang,3215,5
46,ANV,CTCP Nam Việt,1016,1
47,APC,CTCP Chiếu xạ An Phú,1896,1
48,APF,CTCP Nông sản Thực phẩm Quảng Ngãi,1704,5
49,APG,CTCP Chứng khoán APG,1201,1
50,APH,CTCP Tập đoàn An Phát Holdings,4803,1
51,API,CTCP Đầu tư Châu Á - Thái Bình Dương,1864,2
52,APL,CTCP Cơ khí và Thiết bị áp lực - VVMI,4393,5
53,APP,CTCP Phát triển Phụ gia và Sản phẩm Dầu Mỏ,2670,5
54,APS,CTCP Chứng khoán Châu Á Thái Bình Dương,1319,2
55,APT,CTCP Kinh doanh Thủy Hải Sản Sài Gòn,2104,5
56,AQN,CTCP 28 Quảng Ngãi,4732,5
57,ARM,CTCP Xuất nhập khẩu Hàng không,1756,2
58,ART,CTCP Chứng khoán BOS,1321,2
59,ASA,CTCP ASA,3021,5
60,ASD,CTCP Sông Đà Hà Nội,3762,5
61,ASG,CTCP Tập đoàn ASG,4698,1
62,ASM,CTCP Tập đoàn Sao Mai,1930,1
63,ASP,CTCP Tập đoàn Dầu khí An Pha,1060,1
64,AST,CTCP Dịch vụ Hàng không Taseco,4626,1
65,ATA,CTCP Ntaco,1817,5
66,ATB,CTCP An Thịnh,4543,5
67,ATD,CTCP 28 Đà Nẵng,4746,5
68,ATG,CTCP An Trường An,4323,5
69,ATS,CTCP Tập Đoàn Dược Phẩm Atesco,4136,2
70,AUM,CTCP Vinacafe Sơn Thành,2835,5
71,AVC,CTCP Thủy điện A Vương,3123,5
72,AVF,CTCP Việt An,2704,5
73,B82,CTCP 482,1135,5
74,BAB,Ngân hàng TMCP Bắc Á,1191,2
75,BAF,CTCP Nông nghiệp BAF Việt Nam,4880,1
76,BAL,CTCP Bao bì Bia - Rượu - Nước giải khát,2158,5
77,BAM,CTCP Khoáng sản và Luyện kim Bắc Á,3763,5
78,BAX,CTCP Thống Nhất,1561,2
79,BBC,CTCP Bibica,47,1
80,BBH,CTCP Bao bì Hoàng Thạch,4801,5
81,BBM,CTCP Bia Hà Nội - Nam Định,4004,5
82,BBS,CTCP VICEM Bao bì Bút Sơn,889,2
83,BBT,CTCP Bông Bạch Tuyết,315,5
84,BCA,CTCP B.C.H,4874,5
85,BCB,CTCP 397,4713,5
86,BCC,CTCP Xi măng Bỉm Sơn,892,2
87,BCE,CTCP Xây dựng và Giao thông Bình Dương,1769,1
88,BCF,CTCP Thực phẩm Bích Chi,2727,2
89,BCG,CTCP Tập đoàn Bamboo Capital,4058,1
90,BCI,CTCP Đầu tư Xây dựng Bình Chánh,1489,1
91,BCM,Tổng Công ty Đầu tư và Phát triển Công nghiệp – CTCP,4586,1
92,BCP,CTCP Dược ENLIE,1652,5
93,BCV,CTCP Du lịch và Thương mại Bằng Giang Cao Bằng - Vimico,4846,5
94,BDB,CTCP Sách và Thiết bị Bình Định,1862,2
95,BDC,Tổng Công ty Xây dựng Bạch Đằng - CTCP,3654,5
96,BDF,CTCP Giày Bình Định,3104,5
97,BDG,CTCP May mặc Bình Dương,4163,5
98,BDP,CTCP Biệt thự và Khách sạn biển Đông Phương,4493,5
99,BDT,CTCP Xây lắp và Vật liệu Xây dựng Đồng Tháp,4363,5
100,BDW,CTCP Cấp thoát nước Bình Định,3877,5
101,BED,CTCP Sách và Thiết bị Trường học Đà Nẵng,1848,2
102,BEL,CTCP Điện tử Biên Hòa,1276,5
103,BFC,CTCP Phân bón Bình Điền,3629,1
104,BGM,CTCP Khai Thác &amp; Chế Biến Khoáng Sản Bắc Giang,2760,1
105,BGW,CTCP Nước sạch Bắc Giang,4087,5
106,BHA,CTCP Thủy điện Bắc Hà,4531,5
107,BHC,CTCP Bê tông Biên Hòa,1558,5
108,BHG,CTCP Chè Biển Hồ,4715,5
109,BHK,CTCP Bia Hà Nội - Kim Bài,4671,5
110,BHN,Tổng Công ty cổ phần Bia - Rượu - Nước giải khát Hà Nội,1313,1
111,BHP,CTCP Bia Hà Nội - Hải Phòng,2185,5
112,BHS,CTCP Đường Biên Hòa,784,1
113,BHT,CTCP Đầu tư Xây dựng Bạch Đằng TMC,2659,5
114,BHV,CTCP Bá Hiến,893,5
115,BIC,Tổng Công ty cổ phần Bảo hiểm Ngân hàng Đầu tư và Phát triển Việt Nam,1909,1
116,BID,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,1161,1
117,BIG,CTCP Big Invest Group,4891,5
118,BII,CTCP Louis Land,3746,2
119,BIO,CTCP Vắc xin và Sinh phẩm Nha Trang,4260,5
120,BKC,CTCP Khoáng sản Bắc Kạn,1806,2
121,BKG,CTCP Đầu tư BKG Việt Nam,4847,1
122,BKH,CTCP Bánh mứt kẹo Hà Nội,1565,5
123,BLF,CTCP Thủy sản Bạc Liêu,1151,2
124,BLI,Tổng Công ty cổ phần Bảo hiểm Bảo Long,1873,5
125,BLN,CTCP Vận tải và Dịch vụ Liên Ninh,3980,5
126,BLT,CTCP Lương thực Bình Định,2478,5
127,BLU,Trung tâm Dịch vụ Đô thị tỉnh Bạc Liêu,4728,5
128,BLW,CTCP Cấp nước Bạc Liêu,4061,5
129,BM9,CTCP Đầu tư Xây dựng 319 Miền Nam,4748,5
130,BMC,CTCP Khoáng sản Bình Định,785,1
131,BMD,CTCP Môi trường và Dịch vụ Đô thị Bình Thuận,4512,5
