Idx,Majoring,Links
1,Bán buôn,https://dulieu.mbs.com.vn/vi/Enterprise/EnterpriseA_Z?sector=1
2,Bán lẻ,https://dulieu.mbs.com.vn/vi/Enterprise/EnterpriseA_Z?sector=7
3,Bảo hiểm,https://dulieu.mbs.com.vn/vi/Enterprise/EnterpriseA_Z?sector=2
4,Bất động sản,https://dulieu.mbs.com.vn/vi/Enterprise/EnterpriseA_Z?sector=3
5,Chăm sóc sức khỏe,https://dulieu.mbs.com.vn/vi/Enterprise/EnterpriseA_Z?sector=8
6,Chế biến Thủy sản,https://dulieu.mbs.com.vn/vi/Enterprise/EnterpriseA_Z?sector=20
7,Chứng chỉ quỹ,https://dulieu.mbs.com.vn/vi/Enterprise/EnterpriseA_Z?sector=4
8,Chứng khoán,https://dulieu.mbs.com.vn/vi/Enterprise/EnterpriseA_Z?sector=5
9,Công nghệ và thông tin,https://dulieu.mbs.com.vn/vi/Enterprise/EnterpriseA_Z?sector=6
10,Khai khoáng,https://dulieu.mbs.com.vn/vi/Enterprise/EnterpriseA_Z?sector=10
11,Ngân hàng,https://dulieu.mbs.com.vn/vi/Enterprise/EnterpriseA_Z?sector=11
12,Ngành khác,https://dulieu.mbs.com.vn/vi/Enterprise/EnterpriseA_Z?sector=25
13,Nông - Lâm - Ngư,https://dulieu.mbs.com.vn/vi/Enterprise/EnterpriseA_Z?sector=12
14,Sản phẩm cao su,https://dulieu.mbs.com.vn/vi/Enterprise/EnterpriseA_Z?sector=17
15,SX Hàng gia dụng,https://dulieu.mbs.com.vn/vi/Enterprise/EnterpriseA_Z?sector=16
16,SX Nhựa - Hóa chất,https://dulieu.mbs.com.vn/vi/Enterprise/EnterpriseA_Z?sector=18
17,"SX Thiết bị, máy móc",https://dulieu.mbs.com.vn/vi/Enterprise/EnterpriseA_Z?sector=15
18,Thực phẩm - Đồ uống,https://dulieu.mbs.com.vn/vi/Enterprise/EnterpriseA_Z?sector=19
19,Tiện ích,https://dulieu.mbs.com.vn/vi/Enterprise/EnterpriseA_Z?sector=22
20,Vận tải - kho bãi,https://dulieu.mbs.com.vn/vi/Enterprise/EnterpriseA_Z?sector=23
21,Vật liệu xây dựng,https://dulieu.mbs.com.vn/vi/Enterprise/EnterpriseA_Z?sector=21
22,Xây dựng,https://dulieu.mbs.com.vn/vi/Enterprise/EnterpriseA_Z?sector=24
