Number,Stock_code,Name_Company,Industry,Exchange,KL_CPNY_(CP),Majority
1,AAT,CTCP Tập Đoàn Tiên Sơn Thanh Hóa,Bán buôn hàng tiêu dùng,HOSE,63.801.489,Bán buôn
2,AAV,CTCP AAV Group,Bán buôn hàng tiêu dùng,HNX,68.987.661,Bán buôn
3,ABR,CTCP Đầu tư Nhãn hiệu Việt,Bán buôn hàng tiêu dùng,HOSE,20.000.000,Bán buôn
4,ABS,CTCP Dịch vụ Nông nghiệp Bình Thuận,Bán buôn hàng tiêu dùng,HOSE,80.000.000,Bán buôn
5,AMP,CTCP Armephaco,Bán buôn hàng lâu bền,UpCom,13.000.000,Bán buôn
6,AMV,CTCP Sản xuất Kinh doanh Dược và Trang thiết bị Y tế Việt Mỹ,Bán buôn hàng lâu bền,HNX,131.105.650,Bán buôn
7,APL,CTCP Cơ khí và Thiết bị áp lực - VVMI,Bán buôn hàng lâu bền,UpCom,1.200.000,Bán buôn
8,ARM,CTCP Xuất nhập khẩu Hàng không,Bán buôn hàng lâu bền,HNX,3.111.283,Bán buôn
9,BIG,CTCP Big Invest Group,Bán buôn hàng lâu bền,UpCom,5.000.000,Bán buôn
10,BM9,CTCP Đầu tư Xây dựng 319 Miền Nam,Bán buôn hàng lâu bền,UpCom,0,Bán buôn
11,CDO,CTCP Tư vấn Thiết kế và Phát triển Đô thị,Bán buôn hàng lâu bền,UpCom,31.504.975,Bán buôn
12,CDP,CTCP Dược phẩm Trung ương Codupha,Bán buôn hàng tiêu dùng,UpCom,18.270.000,Bán buôn
13,CEN,CTCP CENCON Việt Nam,Bán buôn hàng tiêu dùng,UpCom,21.712.440,Bán buôn
14,CEN,CTCP CENCON Việt Nam,Bán buôn hàng tiêu dùng,UpCom,0,Bán buôn
15,CGL,CTCP Thương mại Gia Lai,Bán buôn hàng lâu bền,UpCom,0,Bán buôn
16,CKV,CTCP COKYVINA,Bán buôn hàng lâu bền,HNX,4.050.000,Bán buôn
17,CLM,CTCP Xuất nhập khẩu Than - Vinacomin,Bán buôn hàng lâu bền,HNX,11.000.000,Bán buôn
18,CLX,CTCP Xuất nhập khẩu và Đầu tư Chợ Lớn (CHOLIMEX),Bán buôn hàng tiêu dùng,UpCom,86.600.000,Bán buôn
19,CMC,CTCP Đầu tư CMC,Bán buôn hàng lâu bền,HNX,4.561.050,Bán buôn
20,CMD,CTCP Vật liệu Xây dựng và Trang trí nội thất Thành phố Hồ Chí Minh,Bán buôn hàng lâu bền,UpCom,15.000.000,Bán buôn
21,CMK,CTCP Cơ khí Mạo Khê - Vinacomin,Bán buôn hàng lâu bền,UpCom,1.432.578,Bán buôn
22,CNC,CTCP Công nghệ Cao Traphaco,Bán buôn hàng tiêu dùng,UpCom,11.364.325,Bán buôn
23,CNT,CTCP Tập đoàn CNT,Bán buôn hàng tiêu dùng,UpCom,40.015.069,Bán buôn
24,CVN,CTCP Vinam,Bán buôn hàng lâu bền,HNX,29.699.991,Bán buôn
25,DAS,CTCP Máy - Thiết bị Dầu khí Đà Nẵng,Bán buôn hàng lâu bền,UpCom,4.200.000,Bán buôn
26,DBT,CTCP Dược phẩm Bến Tre,Bán buôn hàng tiêu dùng,HOSE,15.625.477,Bán buôn
27,DDN,CTCP Dược và Thiết bị Y tế Đà Nẵng,Bán buôn hàng tiêu dùng,UpCom,15.349.328,Bán buôn
28,DGW,CTCP Thế Giới Số,Bán buôn hàng lâu bền,HOSE,163.229.943,Bán buôn
29,DIC,CTCP Đầu tư và Thương mại DIC,Bán buôn hàng lâu bền,UpCom,26.585.840,Bán buôn
30,DP1,CTCP Dược phẩm Trung ương CPC1,Bán buôn hàng tiêu dùng,UpCom,20.979.000,Bán buôn
31,DPP,CTCP Dược Đồng Nai,Bán buôn hàng tiêu dùng,UpCom,3.000.010,Bán buôn
32,DPS,CTCP Đầu tư Phát triển Sóc Sơn,Bán buôn hàng lâu bền,UpCom,31.085.257,Bán buôn
33,DXV,CTCP VICEM Vật liệu Xây dựng Đà Nẵng,Bán buôn hàng lâu bền,HOSE,9.900.000,Bán buôn
34,FBA,CTCP Tập đoàn Quốc tế FBA,Bán buôn hàng lâu bền,UpCom,3.414.900,Bán buôn
35,FDG,CTCP Docimexco,Bán buôn hàng tiêu dùng,UpCom,0,Bán buôn
